URL,Version,Status,OIDs,Name,Title,Description,Used
https://hl7.cz/terminology/CodeSystem/administrative-gender-cz,0.1.0,draft,,AdministrativeGenderCz,Administrative Gender (CZ supplement),"Pohlaví osoby používané pro administrativní účely. The gender of a person used for administrative purposes.",
https://hl7.cz/terminology/CodeSystem/coverage-selfpay-cz,0.1.0,draft,,CoverageSelfPayCodesCZ,Coverage SelfPay Codes (CZ supplement),"This code system supplements Coverage SelfPay.",
https://hl7.cz/terminology/CodeSystem/v2-0131-cz,0.1.0,draft,,ContactRole2Cz,Contact Role (CZ supplement),"Role kontaktní osoby. FHIR Code system definition for HL7 v2 table 0131 (Contact Role).",
https://hl7.cz/terminology/CodeSystem/v3-ActCode-cz,0.1.0,draft,,v3-ActCode,v3 Code System ActCode,"This code system supplements v3 ActCode.",
https://hl7.cz/terminology/CodeSystem/v3-RoleCode-cz,0.1.0,draft,,RoleCodeCz,RoleCode (CZ Supplement),"Český doplněk kódového systému v3-RoleCode, který je souborem kódů blíže specifikujících druh Role; obsahuje specifické klasifikační kódy pro další upřesnění kódů RoleClass. A Czech supplement to the v3-RoleCode code system which is a set of codes further specifying the kind of Role; specific classification codes for further qualifying RoleClass codes.",
https://ncez.mzcr.cz/nclp/CodeSystem/nclpmat,0.1.0,active,,NCLPMAT,NCLPMAT,"NCLP - Číselník materiálů pro laboratoře.",
https://ncez.mzcr.cz/terminology/CodeSystem/absent-unknown-uv-ips-cz,0.1.0,draft,,AbsentAndUnknownDataUvIps,Absent a Unknown Data - IPS,"Kódový systém pro označení nepřítomnosti nebo neznalosti údajů. Doplněk kódového systému hl7-IPS (International patient Summary).",
https://ncez.mzcr.cz/terminology/CodeSystem/drzar,0.1.0,active,"1.2.203.24341.11.2.10.1",CS_Drzar,Type of healthcare facility,"Czech national code system for type of healthcare facility.",
https://ncez.mzcr.cz/terminology/CodeSystem/healthInsuranceCompanyCode,0.1.0,active,,CS_HealthInsuranceCompanyCode,Codesystem of Health Insurance Companies,"National codes of health insurance companies.",
https://ncez.mzcr.cz/terminology/CodeSystem/nrzp-povolani,0.1.0,active,"1.2.203.24341.11.2.10.2.1",NRZP_Povolani,NRZP - Czech health professional occupation,"Czech national code system for health professional occupation used in the national registry of healthcare practicioners.",
https://sukl.cz/terminology/CodeSystem/dlp-atc,0.1.0,draft,,CS_DLP_atc,ATC CZ,"Czech national version of the Anatomical Therapeutical Chemical (ATC) code system.",
https://sukl.cz/terminology/CodeSystem/dlp-formy,0.1.0,active,,CS_DLP_formy,DLP formy,"Lékové formy dle DLP.",
https://sukl.cz/terminology/CodeSystem/dlp-lecivelatky,0.1.0,active,"1.2.203.24341.11.2.7.5",CS_DLP_lecivelatky,Codesystem of DLP Lecive latky,"Codesystem of DLP Lecive latky. Identification ingredient.",
https://sukl.cz/terminology/CodeSystem/dlp-lecivepripravky,0.1.0,active,,CS_DLP_lecivepripravky,Codesystem of DLP Lecive pripravky,"Codesystem of DLP Lecive pripravky. Identification medication.",
