Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.cz.terminology.json	18464	-	1	0	0	0	0	0	15	95	0	0	0	0	0	0	0	0	0	0	208	1431	0	0	0	12	0	3
fsh-generated/resources/CodeSystem-absent-unknown-uv-ips-cz.json	11445	5	0	0	0	0	0	0	2	15	0	0	1	0	0	0	0	1	0	0	76	3480	0	1	0	2	0	0
fsh-generated/resources/CodeSystem-administrative-gender-cz.json	1877	2	0	0	1	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	22	346	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-coverage-selfpay-cz.json	1089	3	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	17	127	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-dlp-atc.json	152591	22	0	0	0	0	0	0	20	59	0	0	0	0	0	0	0	1	0	0	506	1461	0	0	0	18	0	6
fsh-generated/resources/CodeSystem-dlp-formy.json	449686	77	0	0	1	0	0	0	69	202	0	0	0	0	0	0	0	4	0	0	1897	4483	0	0	0	64	0	13
fsh-generated/resources/CodeSystem-dlp-lecivelatky.json	1091	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	16	130	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-dlp-lecivepripravky.json	1062	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	14	109	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-drzar.json	7122	5	0	0	0	0	0	0	1	8	0	0	1	0	0	0	0	0	0	0	72	223	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-healthInsuranceCompanyCode.json	3997	4	0	0	1	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	43	168	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-nclp-NCLPMAT.json	148366	29	0	0	0	0	0	0	19	50	0	0	0	0	0	0	0	2	0	0	578	1318	0	0	0	24	0	6
fsh-generated/resources/CodeSystem-nrzp-povolani.json	5319	3	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	55	230	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-v2-0131-cz.json	4471	3	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	45	154	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-v3-ActCode-cz.json	2990	2	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	31	121	0	0	0	1	0	0
