URL,Version,Status,OIDs,Name,Title,Description,Used
https://hl7.cz/terminology/CodeSystem/administrative-gender-cz,4.0.1,active,,AdministrativeGenderCz,Administrative Gender (CZ supplement),"Pohlaví osoby používané pro administrativní účely. The gender of a person used for administrative purposes.",
https://hl7.cz/terminology/CodeSystem/allergy-intolerance-category-cz,4.0.1,active,,AllergyIntoleranceCategoryCz,Allergy Intolerance Category (CZ supplement),"Allergy Intolerance Category (CZ Code system supplement)",
https://hl7.cz/terminology/CodeSystem/allergy-intolerance-criticality-cz,4.0.1,active,,AllergyIntoleranceCriticalityCz,AllergyIntoleranceCriticality (CZ supplement),"AllergyIntoleranceCriticality CZ Code system supplement",
https://hl7.cz/terminology/CodeSystem/coverage-selfpay-cz,4.0.1,active,,CoverageSelfPayCodesCZ,Coverage SelfPay Codes (CZ supplement),"This code system supplements Coverage SelfPay.",
https://hl7.cz/terminology/CodeSystem/v2-0131-cz,3.0.0,active,,ContactRole2Cz,Contact Role (CZ supplement),"Role kontaktní osoby. FHIR Code system definition for HL7 v2 table 0131 (Contact Role).",
https://hl7.cz/terminology/CodeSystem/v3-ActCode-cz,11.0.0,active,,ActCodeCz,ActCode (CZ supplement),"This code system supplements v3 ActCode.",
https://hl7.cz/terminology/CodeSystem/v3-NullFlavor-cz,3.0.0,active,,NullFlavor,Null Flavor (CZ supplement),"Null Flavor (CZ Code system supplement)",
https://hl7.cz/terminology/CodeSystem/v3-RoleCode-cz,1.0.0,active,,RoleCodeCz,RoleCode (CZ Supplement),"Český doplněk kódového systému v3-RoleCode, který je souborem kódů blíže specifikujících druh Role; obsahuje specifické klasifikační kódy pro další upřesnění kódů RoleClass. A Czech supplement to the v3-RoleCode code system which is a set of codes further specifying the kind of Role; specific classification codes for further qualifying RoleClass codes.",
https://ncez.mzcr.cz/nclp/CodeSystem/nclpmat,20260214,active,,NCLPMAT,NCLPMAT,"Číselník materiálů pro laboratoře",
https://ncez.mzcr.cz/nclp/CodeSystem/nclppol,02.97.01,active,,CS_NCLPPOL,NCLPPOL Code System,"Národní číselník laboratorních položek",
https://ncez.mzcr.cz/terminology/CodeSystem/absent-unknown-uv-ips-cz,1.1.0,active,,AbsentAndUnknownDataUvIps,Absent a Unknown Data - IPS,"Kódový systém pro označení nepřítomnosti nebo neznalosti údajů. Doplněk kódového systému hl7-IPS (International patient Summary).",
https://ncez.mzcr.cz/terminology/CodeSystem/drzar,1.0.0,active,"1.2.203.24341.11.2.10.1",CS_Drzar,Type of healthcare facility,"Czech national code system for type of healthcare facility.",
https://ncez.mzcr.cz/terminology/CodeSystem/healthInsuranceCompanyCode,1.0.0,active,,CS_HealthInsuranceCompanyCode,Codesystem of Health Insurance Companies,"National codes of health insurance companies.",
https://ncez.mzcr.cz/terminology/CodeSystem/nrzp-povolani,1.0.0,active,"1.2.203.24341.11.2.10.2.1",NRZP_Povolani,NRZP - Czech health professional occupation,"Czech national code system for health professional occupation used in the national registry of healthcare practicioners.",
https://ncez.mzcr.cz/terminology/CodeSystem/vzp-smluvni-odbornost,770,active,,VzpSmluvniOdbornost,VZP - smluvní odbornost pracovišť,"Kódový systém VZP - smluvní odbornost pracovišť je využíván pro objednávání a vykazování/vyúčtování zdravotních služeb.",
https://sukl.cz/terminology/CodeSystem/dlp-atc,1.0.0,active,,CS_DLP_atc,ATC CZ,"Czech national version of the Anatomical Therapeutical Chemical (ATC) code system.",
https://sukl.cz/terminology/CodeSystem/dlp-formy,1.0.0,active,,CS_DLP_formy,DLP formy,"Lékové formy dle DLP.",
https://sukl.cz/terminology/CodeSystem/dlp-lecivelatky,1.0.0,active,"1.2.203.24341.11.2.7.5",CS_DLP_lecivelatky,DLP Lecive latky,"DLP Lecive latky - Czech national code system for active drug substances.",
https://sukl.cz/terminology/CodeSystem/dlp-lecivepripravky,1.0.0,active,,CS_DLP_lecivepripravky,DLP Lecive pripravky,"DLP Lecive pripravky - Czech national registry of the pharmaceutical products.",
https://uzis.cz/terminology/CodeSystem/OdbornostVZP,1.0.0,active,,CS_OdbornostVZP,OdbornostVZP,"Kódový systém smluvních odborností poskytovatele (VZP)",
https://uzis.cz/terminology/CodeSystem/mkn-10,2025-01,active,"1.2.203.24341.11.2.1",MKN10_5,Kódový systém MKN-10,"Národní systém pro kódování diagnóz a zdravotních problémů odvozený od ICD-10 WHO.",
https://uzis.cz/terminology/CodeSystem/nzis-NahradyZaZdravotniPeci,1.0.0,active,,CS_NahradyZaZdravotniPeci,Kódový systém NahradyZaZdravotniPeci,"Kódový systém použitý v Národním registru hospitalizovaných (NRHOSP) pro kódování důvodů náhrady za zdravotní péči.",
https://www.orpha.net,2026,draft,"1.3.6.1.4.1.12559.11.10.1.3.1.44.5",ORPHADisease,ORPHA vzácná onemocnění,"Nomenklatura vzácných onemocnění ORPHAcode, která je nezbytná pro zlepšení viditelnosti vzácných onemocnění ve zdravotnických a výzkumných informačních systémech.",
